species_folder,scientific_name,common_name
macolor_niger,Macolor niger,Black-and-white Snapper
macropharyngodon_ornatus,Macropharyngodon ornatus,Ornate Leopard Wrasse
makaira_nigricans,Makaira nigricans,Blue Marlin
megalaspis_cordyla,Megalaspis cordyla,Torpedo Scad
megalops_cyprinoides,Megalops cyprinoides,Indo-Pacific Tarpon
meiacanthus_smithi,Meiacanthus smithi,Smith's Fangblenny
melichthys_indicus,Melichthys indicus,Black-finned Triggerfish
mene_maculata,Mene maculata,Razor Moonfish
mola_alexandrini,Mola alexandrini,Bump-head Mola
monodactylus_argenteus,Monodactylus argenteus,Diamondfish
monotaxis_grandoculis,Monotaxis grandoculis,Humpnose Bigeye Bream
monotaxis_heterodon,Monotaxis heterodon,Redfin Bream
mugil_cephalus,Mugil cephalus,Sea Mullet
mugil_curema,Mugil curema,White Mullet
mugilogobius_tigrinus,Mugilogobius tigrinus,Tiger Dwarf Goby
mulloidichthys_flavolineatus,Mulloidichthys flavolineatus,Yellowstripe Goatfish
mulloidichthys_vanicolensis,Mulloidichthys vanicolensis,Yellowfin Goatfish
muraenesox_bagio,Muraenesox bagio,Common Pike-conger
myrichthys_colubrinus,Myrichthys colubrinus,Harlequin Snake Eel
myrichthys_maculosus,Myrichthys maculosus,Tiger Snake Eel
myripristis_adusta,Myripristis adusta,Shadowfin Soldierfish
myripristis_murdjan,Myripristis murdjan,Crimson Soldierfish
myripristis_violacea,Myripristis violacea,Violet Soldierfish
naso_annulatus,Naso annulatus,Whitemargin Unicornfish
naso_brachycentron,Naso brachycentron,Humpback Unicornfish
naso_brevirostris,Naso brevirostris,Paletail Unicornfish
naso_elegans,Naso elegans,Elegant Unicornfish
naso_hexacanthus,Naso hexacanthus,Sleek Unicornfish
naso_lopezi,Naso lopezi,Slender Unicornfish
naso_tonganus,Naso tonganus,Humpnose Unicornfish
naso_unicornis,Naso unicornis,Bluespine Unicornfish
naso_vlamingii,Naso vlamingii,Bignose Unicornfish
nemanthias_dispar,Nemanthias dispar,Redfin Anthias
nemateleotris_magnifica,Nemateleotris magnifica,Fire Dartfish
nemipterus_japonicus,Nemipterus japonicus,Japanese Threadfin Bream
neoniphon_argenteus,Neoniphon argenteus,Silver Squirrelfish
neoniphon_sammara,Neoniphon sammara,Spotfin Squirrelfish
neopomacentrus_cyanomos,Neopomacentrus cyanomos,Regal Demoiselle
novaculichthys_taeniourus,Novaculichthys taeniourus,Rockmover Wrasse
nuchequula_nuchalis,Nuchequula nuchalis,Spotnape Ponyfish
odonus_niger,Odonus niger,Redtooth Triggerfish
omobranchus_punctatus,Omobranchus punctatus,Muzzled Blenny
oryzias_dancena,Oryzias dancena,Indian Ricefish
osphronemus_goramy,Osphronemus goramy,Giant Gourami
ostorhinchus_cookii,Ostorhinchus cookii,Cook's Cardinalfish
ostorhinchus_fleurieu,Ostorhinchus fleurieu,Bullseye Cardinalfish
ostracion_cubicum,Ostracion cubicum,Yellow Boxfish
ostracion_meleagris,Ostracion meleagris,Spotted Boxfish
ostracion_rhinorhynchos,Ostracion rhinorhynchos,Horn-nose Boxfish
otolithes_ruber,Otolithes ruber,Tigertooth Croaker
oxycirrhites_typus,Oxycirrhites typus,Longnose Hawkfish
oxymonacanthus_longirostris,Oxymonacanthus longirostris,Longnose Filefish
pampus_chinensis,Pampus chinensis,Chinese Silver Pomfret
pangasianodon_hypophthalmus,Pangasianodon hypophthalmus,Iridescent Shark
pangasius_pangasius,Pangasius pangasius,Pangas catfish
paracirrhites_arcatus,Paracirrhites arcatus,Arc-eye Hawkfish
paracirrhites_forsteri,Paracirrhites forsteri,Freckled Hawkfish
parapercis_hexophtalma,Parapercis hexophtalma,Spotted Sandperch
parastromateus_niger,Parastromateus niger,Black Pomfret
parupeneus_barberinus,Parupeneus barberinus,Dot-and-dash Goatfish
parupeneus_cyclostomus,Parupeneus cyclostomus,Goldsaddle Goatfish
parupeneus_indicus,Parupeneus indicus,Yellowspot Goatfish
parupeneus_macronemus,Parupeneus macronemus,Longbarbel Goatfish
parupeneus_trifasciatus,Parupeneus trifasciatus,Indian Doublebar Goatfish
periophthalmodon_schlosseri,Periophthalmodon schlosseri,Giant Mudskipper
periophthalmodon_septemradiatus,Periophthalmodon septemradiatus,Asian Dwarf Mudskipper
